Detector,Descriptor,Keypoints,Matches,Detector Time(ms),Descriptor Time(ms)
BRISK,FREAK,277,155,258.826,32.7823
BRISK,FREAK,297,173,267.46,31.2466
BRISK,FREAK,279,161,257.067,32.0085
BRISK,FREAK,289,183,256.434,31.6789
BRISK,FREAK,272,169,255.982,31.2763
BRISK,FREAK,266,178,257.752,33.3257
BRISK,FREAK,254,168,268.819,32.9321
BRISK,SIFT,282,184,262.907,13.6075
BRISK,SIFT,282,193,260.784,13.2284
BRISK,SIFT,277,170,258.996,13.8816
BRISK,SIFT,297,186,260.486,14.1653
BRISK,SIFT,279,174,258.722,13.4656
BRISK,SIFT,289,195,257.357,13.1592
BRISK,SIFT,272,198,257.133,13.6377
BRISK,SIFT,266,179,259.143,13.9786
BRISK,SIFT,254,184,268.025,14.4029
ORB,BRIEF,102,49,5.4315,0.3539
ORB,BRIEF,106,43,5.3573,0.4232
ORB,BRIEF,113,45,4.9267,0.4267
ORB,BRIEF,109,59,4.9472,0.367
ORB,BRIEF,125,53,4.8859,0.4625
ORB,BRIEF,130,78,4.9349,0.4141
ORB,BRIEF,129,68,5.9364,0.4924
ORB,BRIEF,127,84,4.9182,0.4229
ORB,BRIEF,128,66,5.0735,0.3955
ORB,ORB,102,67,4.7435,3.109
ORB,ORB,106,70,4.9857,2.8836
ORB,ORB,113,72,5.1171,3.4013
ORB,ORB,109,84,5.2936,3.5324
ORB,ORB,125,91,4.9859,2.6554
ORB,ORB,130,101,5.689,3.2951
ORB,ORB,129,92,5.1389,3.1256
ORB,ORB,127,93,4.9062,2.844
ORB,ORB,128,93,5.6737,3.1174
ORB,FREAK,102,42,5.2363,29.7406
ORB,FREAK,106,36,4.632,29.672
ORB,FREAK,113,44,4.8955,30.0121
ORB,FREAK,109,47,5.0206,29.7361
ORB,FREAK,125,44,5.3023,30.2111
ORB,FREAK,130,51,5.7782,30.5027
ORB,FREAK,129,52,4.9415,29.89
ORB,FREAK,127,48,5.1753,30.0771
ORB,FREAK,128,56,5.776,30.9296
ORB,SIFT,102,67,5.1795,15.5223
ORB,SIFT,106,79,5.8707,15.2544
ORB,SIFT,113,78,5.1375,16.576
ORB,SIFT,109,81,5.9879,15.7827
ORB,SIFT,125,82,5.3235,15.569
ORB,SIFT,130,95,5.1476,16.8818
ORB,SIFT,129,95,6.351,18.7374
ORB,SIFT,127,95,5.3138,20.1132
ORB,SIFT,128,94,5.5738,17.1434
AKAZE,AKAZE,157,138,33.788,29.6531
AKAZE,AKAZE,161,138,30.5777,25.8097
AKAZE,AKAZE,155,133,29.1459,28.759
AKAZE,AKAZE,163,127,30.9047,25.2202
AKAZE,AKAZE,164,129,30.8872,24.0429
AKAZE,AKAZE,173,146,30.2042,26.5682
AKAZE,AKAZE,175,147,30.0942,22.7411
AKAZE,AKAZE,177,151,31.1329,24.8636
AKAZE,AKAZE,179,150,30.516,25.4448
SIFT,BRIEF,132,86,48.8066,0.6021
SIFT,BRIEF,124,78,48.8986,0.5118
SIFT,BRIEF,138,77,49.5921,0.5281
SIFT,BRIEF,134,86,48.708,0.5266
SIFT,BRIEF,140,69,48.0108,0.6215
SIFT,BRIEF,137,74,49.5306,0.5364
